EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/1
AP-117/ 2022-2023
AU College of Pharmaceutical Sciences Andhra University Vishakhapatnam.
PCI - 151",,,,,,,,,,,,,,"B.Pharm, Pharm.D, Pharm.D (PB) and M.Pharm The Registrar,
Andhra University, Waltair Junction, Visakhapatnam, Andhra Pradesh 530003
Hospital
King George Hospital, Visakhapatnam",,,"B.Pharm
B.Pharm course is already approved upto 2022-2023 academic session for 40 admissions.
Pharm.D
Pharm.D course is already approved upto 2022-2023 academic session for 30 admissions.
Pharm.D(PB)
Pharm.D (PB) course is already approved upto 2022-2023 academic session for 10 admissions.
M.Pharm
M.Pharm Pharmacy Practice -10 M.Pharm Regulatory Affairs- 03
M.Pharm Pharmaceutical Biotechnology-03
M.Pharm Pharmacognosy- 03
M.Pharm Pharmaceutical Technology- 06
M.Pharm Pharmacology -06
M.Pharm Pharmaceutical Chemistry -10
M.Pharm Pharmaceutical Analysis -06"
"374EC/2
AP-118/ 2022-2023
Gitam Institute of Pharmacy Formerly College Of Pharmacy Gitam Gitam University Gandhinagar Campus Rushikonda Visakhapatnam /
PCI – 687",,,,,,,,,,,,,,"B.Pharm, M.Pharm The Registrar GITAM University Rushikonda Gandhinagar Campus
Rushikonda Visakhapatnam",,,"B.Pharm
B.Pharm course is already approved upto 2023-2024 academic session for 100 admissions.
M.Pharm
M.Pharm Pharmaceutics- 15
M.Pharm Pharmaceutical Chemistry- 15
M.Pharm Pharmaceutical Analysis- 15
M.Pharm Pharmaceutical Quality Assurance-09
M.Pharm Pharmacology -12"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/3
AP-119/ 2022-2023
Institute of Pharmaceutical Technology Sri Padmavati Mahila Visvavidyalayam Tirupati /
PCI – 919",,,,,,,,,,,,,,"B.Pharm, M.Pharm
The Registrar Sri Padmavathi Mahila Visvavidyalayam Tirupati",,,"B.Pharm
B.Pharm course is already approved upto 2023-2024 academic session for 40 admissions.
M.Pharm
M.Pharm Pharmaceutical Analysis- 15 M.Pharm Pharmacology- 15
M.Pharm Pharmaceutics -15
M.Pharm Pharmaceutical Chemistry- 15
M.Pharm Pharmacognosy- 06"
"374EC/4
AP-120/ 2022-2023
Raghavendra Institute of Pharmaceutical Education And Researchsaigram Krishnamreddypalli Cross Chiyyedu Po Anantapur /
PCI - 1684",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Technical Education and Training Andhra Pradesh
B.Pharm, Pharm.D, Pharm.D(PB)  M.Pharm The Controller of Examinations, Raghavendra Institute of Pharmaceutical Education and Research, K R Palli Cross, Chiyyedu Post, Anantapuramu
District 515721.
(As Autonomous Status) w.e.f. 2016-2017 a.s.
Hospital
RDT Hospital, Anantpur",,,"D.Pharm
D.Pharm course is already approved upto 2024-2025 academic session for 60 admissions.
B.Pharm
B.Pharm course is already approved upto 2024-2025 academic session for 100 admissions.
Pharm.D
Pharm.D course is already approved upto 2024-2025 academic session for 30 admissions.
Pharm.D(PB)
Pharm.D (PB) course is already approved upto 2024-2025 academic session for 10 admissions.
M.Pharm
M.Pharm Pharmaceutical Quality Assurance- 15
M.Pharm Pharmaceutical Analysis- 15 M.Pharm Pharmacy Practice -15 M.Pharm Pharmacology -15
M.Pharm Pharmaceutics -15 M.Pharm Industrial Pharmacy -15
M.Pharm Pharmaceutical Chemistry- 15"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/5
AP-121/ 2022-2023
Govt Polytechnic For Women Cuddapah Gram / PCI – 741",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor,
Tank Bund Road, Hyderabad - 500 063.",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 60 admissions."
"374EC/6
AP-122/ 2022-2023
Govt Polytechnic For Womenguntur Gram Vanita /
PCI – 744",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor,
Tank Bund Road, Hyderabad - 500 063.",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 60 admissions."
"374EC/7
AP-123/ 2022-2023
Govt Polytechnic For Women Hindupur /
PCI - 745",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor,
Tank Bund Road, Hyderabad - 500 063.",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 50 admissions."
"374EC/8
AP-124/ 2022-2023
Govt Polytechnic For Women Kakinada East Godavari Distt Gram Womens Poly / PCI – 746",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 40 admissions."
"374EC/9
AP-125/ 2022-2023
Govt Polytechnic For Women Srikakulam / PCI – 748",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 40 admissions."
"374EC/10
AP-126/ 2022-2023
Govt Polytechnic Visakhapatnam Gram Poly /
PCI – 766",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 60 admissions."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/11
AP-127/ 2022-2023
Sri Padmavathi Womens Polytechnic T T Devasthanamstirupati Distt Chittoor Gram Devasthan /
PCI – 2306",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2023-2024 academic session for 30 admissions"
"374EC/12
AP-128/ 2022-2023
St Anns College Of Pharmacy Nayunipalli Village Challareddipalem Vetapalem Madal Chirala Prakasam /
PCI – 2371",,,,,,,,,,,,,,"B.Pharm
and M.Pharm
The Registrar Jawaharlal Nehru Technological University Kakinada Hyderabad",,,"B.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for B.Pharm course
Regarding institiuon’s request for raise in admission in B.Pharm –
It was noted that institution has failed to appoint faculty, failed to maintain faculty cadre ratio and disburse salary as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014.
In view of above, it was decided to reject the application for raise in admission in B.Pharm course.
M.Pharm
M.Pharm Pharmaceutics -15
M.Pharm Pharmaceutical Analysis- 12 (reduce from 15 to 12 - as teaching staff is not qualified as per M.Pharm Regulations)"
